,Tarifa,Estado,Municipio,Division,Anio,Mes,Cargo,Unidades,Costo
53, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,JULIO,Variable(Energía),$/kWh,3.746
54, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,AGOSTO,Fijo,$/mes,27.78
55, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,AGOSTO,Variable(Energía),$/kWh,3.761
56, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,SEPTIEMBRE,Fijo,$/mes,27.78
57, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,SEPTIEMBRE,Variable(Energía),$/kWh,3.776
58, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,OCTUBRE,Fijo,$/mes,27.78
59, PDBT,AGUASCALIENTES,CALVILLO,BAJÍO,2022,OCTUBRE,Variable(Energía),$/kWh,3.786
60, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,ENERO,Fijo,$/mes,27.78
61, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,ENERO,Variable(Energía),$/kWh,3.605
62, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,FEBRERO,Fijo,$/mes,27.78
63, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,FEBRERO,Variable(Energía),$/kWh,3.626
64, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,MARZO,Fijo,$/mes,27.78
65, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,MARZO,Variable(Energía),$/kWh,3.626
66, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,ABRIL,Fijo,$/mes,27.78
67, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,ABRIL,Variable(Energía),$/kWh,3.699
68, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,MAYO,Fijo,$/mes,27.78
69, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,MAYO,Variable(Energía),$/kWh,3.755
70, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,JUNIO,Fijo,$/mes,27.78
71, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,JUNIO,Variable(Energía),$/kWh,3.676
72, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,JULIO,Fijo,$/mes,27.78
73, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,JULIO,Variable(Energía),$/kWh,3.746
74, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,AGOSTO,Fijo,$/mes,27.78
75, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,AGOSTO,Variable(Energía),$/kWh,3.761
76, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,SEPTIEMBRE,Fijo,$/mes,27.78
77, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,SEPTIEMBRE,Variable(Energía),$/kWh,3.776
78, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,OCTUBRE,Fijo,$/mes,27.78
79, PDBT,AGUASCALIENTES,COSIO,BAJÍO,2022,OCTUBRE,Variable(Energía),$/kWh,3.786
80, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,ENERO,Fijo,$/mes,27.78
81, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,ENERO,Variable(Energía),$/kWh,3.605
82, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,FEBRERO,Fijo,$/mes,27.78
83, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,FEBRERO,Variable(Energía),$/kWh,3.626
84, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,MARZO,Fijo,$/mes,27.78
85, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,MARZO,Variable(Energía),$/kWh,3.626
86, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,ABRIL,Fijo,$/mes,27.78
87, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,ABRIL,Variable(Energía),$/kWh,3.699
88, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,MAYO,Fijo,$/mes,27.78
89, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,MAYO,Variable(Energía),$/kWh,3.755
90, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,JUNIO,Fijo,$/mes,27.78
91, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,JUNIO,Variable(Energía),$/kWh,3.676
92, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,JULIO,Fijo,$/mes,27.78
93, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,JULIO,Variable(Energía),$/kWh,3.746
94, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,AGOSTO,Fijo,$/mes,27.78
95, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,AGOSTO,Variable(Energía),$/kWh,3.761
96, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,SEPTIEMBRE,Fijo,$/mes,27.78
97, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,SEPTIEMBRE,Variable(Energía),$/kWh,3.776
98, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,OCTUBRE,Fijo,$/mes,27.78
99, PDBT,AGUASCALIENTES,EL LLANO,BAJÍO,2022,OCTUBRE,Variable(Energía),$/kWh,3.786
100, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,ENERO,Fijo,$/mes,27.78
101, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,ENERO,Variable(Energía),$/kWh,3.605
102, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,FEBRERO,Fijo,$/mes,27.78
103, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,FEBRERO,Variable(Energía),$/kWh,3.626
104, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,MARZO,Fijo,$/mes,27.78
105, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,MARZO,Variable(Energía),$/kWh,3.626
106, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,ABRIL,Fijo,$/mes,27.78
107, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,ABRIL,Variable(Energía),$/kWh,3.699
108, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,MAYO,Fijo,$/mes,27.78
109, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,MAYO,Variable(Energía),$/kWh,3.755
110, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,JUNIO,Fijo,$/mes,27.78
111, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,JUNIO,Variable(Energía),$/kWh,3.676
112, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,JULIO,Fijo,$/mes,27.78
113, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,JULIO,Variable(Energía),$/kWh,3.746
114, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,AGOSTO,Fijo,$/mes,27.78
115, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,AGOSTO,Variable(Energía),$/kWh,3.761
116, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,SEPTIEMBRE,Fijo,$/mes,27.78
117, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,SEPTIEMBRE,Variable(Energía),$/kWh,3.776
118, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,OCTUBRE,Fijo,$/mes,27.78
119, PDBT,AGUASCALIENTES,JESUS MARIA,BAJÍO,2022,OCTUBRE,Variable(Energía),$/kWh,3.786
120, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,ENERO,Fijo,$/mes,27.78
121, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,ENERO,Variable(Energía),$/kWh,3.605
122, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,FEBRERO,Fijo,$/mes,27.78
123, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,FEBRERO,Variable(Energía),$/kWh,3.626
124, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,MARZO,Fijo,$/mes,27.78
125, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,MARZO,Variable(Energía),$/kWh,3.626
126, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,ABRIL,Fijo,$/mes,27.78
127, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,ABRIL,Variable(Energía),$/kWh,3.699
128, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,MAYO,Fijo,$/mes,27.78
129, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,MAYO,Variable(Energía),$/kWh,3.755
130, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,JUNIO,Fijo,$/mes,27.78
131, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,JUNIO,Variable(Energía),$/kWh,3.676
132, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,JULIO,Fijo,$/mes,27.78
133, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,JULIO,Variable(Energía),$/kWh,3.746
134, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,AGOSTO,Fijo,$/mes,27.78
135, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,AGOSTO,Variable(Energía),$/kWh,3.761
136, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,SEPTIEMBRE,Fijo,$/mes,27.78
137, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,SEPTIEMBRE,Variable(Energía),$/kWh,3.776
138, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,OCTUBRE,Fijo,$/mes,27.78
139, PDBT,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,2022,OCTUBRE,Variable(Energía),$/kWh,3.786
140, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,ENERO,Fijo,$/mes,27.78
141, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,ENERO,Variable(Energía),$/kWh,3.605
142, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,FEBRERO,Fijo,$/mes,27.78
143, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,FEBRERO,Variable(Energía),$/kWh,3.626
144, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,MARZO,Fijo,$/mes,27.78
145, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,MARZO,Variable(Energía),$/kWh,3.626
