,Tarifa,Anio,Verano,Mes,Consumo,Precio,kwh,Minimo
0, 1,2022,,ENERO,Consumobasico,0.882,75,25
1, 1,2022,,ENERO,Consumointermedio,1.073,65,25
2, 1,2022,,ENERO,Consumoexcedente,3.134,,25
3, 1A,2022,FEBRERO,ENERO,Consumobasico,0.882,75,25
4, 1A,2022,FEBRERO,ENERO,Consumointermedio,1.073,75,25
5, 1A,2022,FEBRERO,ENERO,Consumoexcedente,3.134,,25
6, 1A,2022,MARZO,ENERO,Consumobasico,0.882,75,25
7, 1A,2022,MARZO,ENERO,Consumointermedio,1.073,75,25
8, 1A,2022,MARZO,ENERO,Consumoexcedente,3.134,,25
9, 1A,2022,ABRIL,ENERO,Consumobasico,0.882,75,25
10, 1A,2022,ABRIL,ENERO,Consumointermedio,1.073,75,25
11, 1A,2022,ABRIL,ENERO,Consumoexcedente,3.134,,25
12, 1A,2022,MAYO,ENERO,Consumobasico,0.882,75,25
13, 1A,2022,MAYO,ENERO,Consumointermedio,1.073,75,25
14, 1A,2022,MAYO,ENERO,Consumoexcedente,3.134,,25
15, 1B,2022,FEBRERO,ENERO,Consumobasico,0.882,75,25
16, 1B,2022,FEBRERO,ENERO,Consumointermedio,1.073,100,25
17, 1B,2022,FEBRERO,ENERO,Consumoexcedente,3.134,,25
18, 1B,2022,MARZO,ENERO,Consumobasico,0.882,75,25
19, 1B,2022,MARZO,ENERO,Consumointermedio,1.073,100,25
20, 1B,2022,MARZO,ENERO,Consumoexcedente,3.134,,25
21, 1B,2022,ABRIL,ENERO,Consumobasico,0.882,75,25
22, 1B,2022,ABRIL,ENERO,Consumointermedio,1.073,100,25
23, 1B,2022,ABRIL,ENERO,Consumoexcedente,3.134,,25
24, 1B,2022,MAYO,ENERO,Consumobasico,0.882,75,25
25, 1B,2022,MAYO,ENERO,Consumointermedio,1.073,100,25
26, 1B,2022,MAYO,ENERO,Consumoexcedente,3.134,,25
27, 1C,2022,FEBRERO,ENERO,Consumobasico,0.882,75,25
28, 1C,2022,FEBRERO,ENERO,Consumointermedio,1.073,100,25
29, 1C,2022,FEBRERO,ENERO,Consumoexcedente,3.134,,25
30, 1C,2022,MARZO,ENERO,Consumobasico,0.882,75,25
31, 1C,2022,MARZO,ENERO,Consumointermedio,1.073,100,25
32, 1C,2022,MARZO,ENERO,Consumoexcedente,3.134,,25
33, 1C,2022,ABRIL,ENERO,Consumobasico,0.882,75,25
34, 1C,2022,ABRIL,ENERO,Consumointermedio,1.073,100,25
35, 1C,2022,ABRIL,ENERO,Consumoexcedente,3.134,,25
36, 1C,2022,MAYO,ENERO,Consumobasico,0.882,75,25
37, 1C,2022,MAYO,ENERO,Consumointermedio,1.073,100,25
38, 1C,2022,MAYO,ENERO,Consumoexcedente,3.134,,25
39, 1D,2022,FEBRERO,ENERO,Consumobasico,0.882,75,25
40, 1D,2022,FEBRERO,ENERO,Consumointermedio,1.073,125,25
41, 1D,2022,FEBRERO,ENERO,Consumoexcedente,3.134,,25
42, 1D,2022,MARZO,ENERO,Consumobasico,0.882,75,25
43, 1D,2022,MARZO,ENERO,Consumointermedio,1.073,125,25
44, 1D,2022,MARZO,ENERO,Consumoexcedente,3.134,,25
45, 1D,2022,ABRIL,ENERO,Consumobasico,0.882,75,25
46, 1D,2022,ABRIL,ENERO,Consumointermedio,1.073,125,25
47, 1D,2022,ABRIL,ENERO,Consumoexcedente,3.134,,25
48, 1D,2022,MAYO,ENERO,Consumobasico,0.882,75,25
49, 1D,2022,MAYO,ENERO,Consumointermedio,1.073,125,25
50, 1D,2022,MAYO,ENERO,Consumoexcedente,3.134,,25
51, 1E,2022,FEBRERO,ENERO,Consumobasico,0.882,75,25
52, 1E,2022,FEBRERO,ENERO,Consumointermedio,1.073,125,25
53, 1E,2022,FEBRERO,ENERO,Consumoexcedente,3.134,,25
54, 1E,2022,MARZO,ENERO,Consumobasico,0.882,75,25
55, 1E,2022,MARZO,ENERO,Consumointermedio,1.073,125,25
56, 1E,2022,MARZO,ENERO,Consumoexcedente,3.134,,25
57, 1E,2022,ABRIL,ENERO,Consumobasico,0.882,75,25
58, 1E,2022,ABRIL,ENERO,Consumointermedio,1.073,125,25
59, 1E,2022,ABRIL,ENERO,Consumoexcedente,3.134,,25
60, 1E,2022,MAYO,ENERO,Consumobasico,0.882,75,25
61, 1E,2022,MAYO,ENERO,Consumointermedio,1.073,125,25
62, 1E,2022,MAYO,ENERO,Consumoexcedente,3.134,,25
63, 1F,2022,FEBRERO,ENERO,Consumobasico,0.882,75,25
64, 1F,2022,FEBRERO,ENERO,Consumointermedio,1.073,125,25
65, 1F,2022,FEBRERO,ENERO,Consumoexcedente,3.134,,25
66, 1F,2022,MARZO,ENERO,Consumobasico,0.882,75,25
67, 1F,2022,MARZO,ENERO,Consumointermedio,1.073,125,25
68, 1F,2022,MARZO,ENERO,Consumoexcedente,3.134,,25
69, 1F,2022,ABRIL,ENERO,Consumobasico,0.882,75,25
70, 1F,2022,ABRIL,ENERO,Consumointermedio,1.073,125,25
71, 1F,2022,ABRIL,ENERO,Consumoexcedente,3.134,,25
72, 1F,2022,MAYO,ENERO,Consumobasico,0.882,75,25
73, 1F,2022,MAYO,ENERO,Consumointermedio,1.073,125,25
74, 1F,2022,MAYO,ENERO,Consumoexcedente,3.134,,25
